Source,Target,Type
John Lennon,Ringo Starr,Undirected
Audrey Hepburn,Buddy Ebsen,Undirected
Elizabeth Taylor,Carroll Baker,Undirected
Burt Lancaster,Donna Reed,Undirected
Tallulah Bankhead,William Bendix,Undirected
Robert Donat,Godfrey Tearle,Undirected
Morgan Freeman,Bob Gunton,Undirected
Al Pacino,James Caan,Undirected
Heath Ledger,Aaron Eckhart,Undirected
Robert De Niro,Robert Duvall,Undirected
Lee J. Cobb,Martin Balsam,Undirected
Viggo Mortensen,Ian McKellen,Undirected
Uma Thurman,Samuel L. Jackson,Undirected
Ralph Fiennes,Ben Kingsley,Undirected
Joseph Gordon-Levitt,Elliot Page,Undirected
Edward Norton,Meat Loaf,Undirected
Ian McKellen,Orlando Bloom,Undirected
Robin Wright,Gary Sinise,Undirected
Eli Wallach,Lee Van Cleef,Undirected
Ian McKellen,Viggo Mortensen,Undirected
Keanu Reeves,Laurence Fishburne,Undirected
Ray Liotta,Joe Pesci,Undirected
Harrison Ford,Carrie Fisher,Undirected
Louise Fletcher,Michael Berryman,Undirected
Phillipa Soo,Leslie Odom Jr.,Undirected
Lee Sun-kyun,Cho Yeo-jeong,Undirected
Madhavan,Paresh Rawal,Undirected
Anne Hathaway,Jessica Chastain,Undirected
Alexandre Rodrigues,Leandro Firmino,Undirected
Suzanne Pleshette,Miyu Irino,Undirected
Matt Damon,Tom Sizemore,Undirected
Michael Clarke Duncan,David Morse,Undirected
Nicoletta Braschi,Giorgio Cantarini,Undirected
Brad Pitt,Kevin Spacey,Undirected
Anthony Hopkins,Lawrence A. Bonney,Undirected
Harrison Ford,Carrie Fisher,Undirected
Akira Ishihama,Shima Iwashita,Undirected
Takashi Shimura,Keiko Tsushima,Undirected
Donna Reed,Lionel Barrymore,Undirected
Robert De Niro,Zazie Beetz,Undirected
J.K. Simmons,Melissa Benoist,Undirected
François Cluzet,Omar Sy,Undirected
Hugh Jackman,Scarlett Johansson,Undirected
Matt Damon,Jack Nicholson,Undirected
Thomas Kretschmann,Frank Finlay,Undirected
Joaquin Phoenix,Connie Nielsen,Undirected
Edward Furlong,Beverly D'Angelo,Undirected
Gabriel Byrne,Chazz Palminteri,Undirected
Gary Oldman,Natalie Portman,Undirected
Matthew Broderick,Jeremy Irons,Undirected
Linda Hamilton,Edward Furlong,Undirected
Enzo Cannavale,Antonella Attili,Undirected
Ayano Shiraishi,Akemi Yamaguchi,Undirected
Christopher Lloyd,Lea Thompson,Undirected
Charles Bronson,Claudia Cardinale,Undirected
Janet Leigh,Vera Miles,Undirected
Ingrid Bergman,Paul Henreid,Undirected
Paulette Goddard,Henry Bergman,Undirected
Virginia Cherrill,Florence Lee,Undirected
Yordanos Shiferaw,Boluwatife Treasure Bankole,Undirected
Çetin Tekindor,Ismail Hacioglu,Undirected
Madhavan,Vijay Sethupathi,Undirected
Mone Kamishiraishi,Ryô Narita,Undirected
Sakshi Tanwar,Fatima Sana Shaikh,Undirected
Rodney Rothman,Shameik Moore,Undirected
Robert Downey Jr.,Chris Evans,Undirected
Robert Downey Jr.,Chris Hemsworth,Undirected
Anthony Gonzalez,Gael García Bernal,Undirected
Christoph Waltz,Leonardo DiCaprio,Undirected
Tom Hardy,Anne Hathaway,Undirected
Madhavan,Mona Singh,Undirected
Darsheel Safary,Aamir Khan,Undirected
Elissa Knight,Jeff Garlin,Undirected
Martina Gedeck,Sebastian Koch,Undirected
Yoo Ji-Tae,Kang Hye-jeong,Undirected
Carrie-Anne Moss,Joe Pantoliano,Undirected
Yuriko Ishida,Yûko Tanaka,Undirected
James Woods,Elizabeth McGovern,Undirected
Karen Allen,Paul Freeman,Undirected
Shelley Duvall,Danny Lloyd,Undirected
Marlon Brando,Robert Duvall,Undirected
Tom Skerritt,John Hurt,Undirected
Amitabh Bachchan,Sumita Sanyal,Undirected
Yutaka Sada,Tatsuya Nakadai,Undirected
George C. Scott,Sterling Hayden,Undirected
Marlene Dietrich,Charles Laughton,Undirected
Ralph Meeker,Adolphe Menjou,Undirected
Grace Kelly,Wendell Corey,Undirected
Gloria Swanson,Erich von Stroheim,Undirected
Paulette Goddard,Jack Oakie,Undirected
George MacKay,Daniel Mays,Undirected
Adesh Prasad,Sohum Shah,Undirected
Tabu,Radhika Apte,Undirected
Meena,Asha Sharath,Undirected
Thomas Bo Larsen,Annika Wedderkopp,Undirected
Leila Hatami,Sareh Bayat,Undirected
Mélissa Désormeaux-Poulin,Maxim Gaudette,Undirected
Nisa Sofiya Aksongur,Deniz Baysal,Undirected
Fikret Kuskan,Hümeyra,Undirected
Diane Kruger,Eli Roth,Undirected
Kate Winslet,Tom Wilkinson,Undirected
Mathieu Kassovitz,Rufus,Undirected
Brad Pitt,Benicio Del Toro,Undirected
Jared Leto,Jennifer Connelly,Undirected
Annette Bening,Thora Birch,Undirected
Matt Damon,Ben Affleck,Undirected
Amir Farrokh Hashemian,Bahare Seddiqi,Undirected
Tim Allen,Don Rickles,Undirected
Sophie Marceau,Patrick McGoohan,Undirected
Tim Roth,Michael Madsen,Undirected
R. Lee Ermey,Vincent D'Onofrio,Undirected
Olga Mironova,Liubomiras Laucevicius,Undirected
Michael Biehn,Carrie Henn,Undirected
Tom Hulce,Elizabeth Berridge,Undirected
Michelle Pfeiffer,Steven Bauer,Undirected
Harrison Ford,Carrie Fisher,Undirected
Herbert Grönemeyer,Klaus Wennemann,Undirected
Jodie Foster,Cybill Shepherd,Undirected
Robert Redford,Robert Shaw,Undirected
Patrick Magee,Michael Bates,Undirected
Gary Lockwood,William Sylvester,Undirected
Lee Van Cleef,Gian Maria Volontè,Undirected
Alec Guinness,Anthony Quinn,Undirected
Shirley MacLaine,Fred MacMurray,Undirected
Eva Marie Saint,James Mason,Undirected
Kim Novak,Barbara Bel Geddes,Undirected
Gene Kelly,Donald O'Connor,Undirected
Nobuo Kaneko,Shin'ichi Himori,Undirected
Enzo Staiola,Lianella Carell,Undirected
Barbara Stanwyck,Edward G. Robinson,Undirected
Joseph Cotten,Dorothy Comingore,Undirected
Ellen Widmann,Inge Landgut,Undirected
Alfred Abel,Gustav Fröhlich,Undirected
Edna Purviance,Jackie Coogan,Undirected
Shraddha Kapoor,Varun Sharma,Undirected
Paresh Rawal,Mohit Raina,Undirected
Srinidhi Shetty,Ramachandra Raju,Undirected
Mahershala Ali,Linda Cardellini,Undirected
Woody Harrelson,Sam Rockwell,Undirected
Konkona Sen Sharma,Neeraj Kabi,Undirected
Rana Daggubati,Anushka Shetty,Undirected
Jason Schwartzman,J.K. Simmons,Undirected
Shriya Saran,Tabu,Undirected
Rajkummar Rao,Lisa Haydon,Undirected
Elmo Nüganen,Giorgi Nakashidze,Undirected
Sonam Kapoor,Pawan Malhotra,Undirected
Richa Chadha,Nawazuddin Siddiqui,Undirected
Ronit Roy,Manjot Singh,Undirected
Mahie Gill,Rajesh Abhay,Undirected
Soledad Villamil,Pablo Rago,Undirected
Nick Nolte,Joel Edgerton,Undirected
Emily Mortimer,Mark Ruffalo,Undirected
Edward Asner,Jordan Nagai,Undirected
Jonah Hill,Margot Robbie,Undirected
Vidya Malvade,Sagarika Ghatge,Undirected
Paul Dano,Ciarán Hinds,Undirected
Ariadna Gil,Sergi López,Undirected
Tim Allen,Joan Cusack,Undirected
Natalie Portman,Rupert Graves,Undirected
Soha Ali Khan,Siddharth,Undirected
Rani Mukerji,Shernaz Patel,Undirected
Michael Caine,Ken Watanabe,Undirected
Gayatri Joshi,Kishori Ballal,Undirected
Alexandra Maria Lara,Ulrich Matthes,Undirected
Takuya Kimura,Tatsuya Gashûin,Undirected
Ed Harris,Jennifer Connelly,Undirected
Sunil Shetty,Paresh Rawal,Undirected
Dexter Fletcher,Nick Moran,Undirected
Russell Crowe,Guy Pearce,Undirected
Ugur Yücel,Sermin Hürmeriç,Undirected
Robert De Niro,Val Kilmer,Undirected
Sharon Stone,Joe Pesci,Undirected
Salman Khan,Raveena Tandon,Undirected
Gene Hackman,Morgan Freeman,Undirected
Sean Connery,Alison Doody,Undirected
Bora Todorovic,Ljubica Adzovic,Undirected
Noriko Hidaka,Chika Sakamoto,Undirected
Alan Rickman,Bonnie Bedelia,Undirected
Akira Terao,Jinpachi Nezu,Undirected
Cathy Moriarty,Joe Pesci,Undirected
Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Undirected
Liv Ullmann,Lena Nyman,Undirected
Irene Papas,Michael Ansara,Undirected
Dharmendra,Amitabh Bachchan,Undirected
Graham Chapman,John Cleese,Undirected
James Garner,Richard Attenborough,Undirected
John Megna,Frank Overton,Undirected
Eijirô Tôno,Tatsuya Nakadai,Undirected
Burt Lancaster,Richard Widmark,Undirected
Tony Curtis,Jack Lemmon,Undirected
Bibi Andersson,Ingrid Thulin,Undirected
Gunnar Björnstrand,Bengt Ekerot,Undirected
Carl Möhner,Robert Manuel,Undirected
Grace Kelly,Robert Cummings,Undirected
Chieko Higashiyama,Sô Yamamura,Undirected
Machiko Kyô,Masayuki Mori,Undirected
Anne Baxter,George Sanders,Undirected
Walter Huston,Tim Holt,Undirected
Jack Benny,Robert Stack,Undirected
Mack Swain,Tom Murray,Undirected
Kathryn McGuire,Joe Keaton,Undirected
Adèle Haenel,Luàna Bajrami,Undirected
Amitabh Bachchan,Kirti Kulhari,Undirected
Saori Hayami,Aoi Yûki,Undirected
Ana Wagener,Jose Coronado,Undirected
Jung-woo Ha,Cho Jin-woong,Undirected
Antoine Olivier Pilon,Suzanne Clément,Undirected
Tabu,Shraddha Kapoor,Undirected
Patrick Stewart,Dafne Keen,Undirected
Jacob Tremblay,Sean Bridgers,Undirected
María Marull,Mónica Villa,Undirected
Jamie Foxx,Tina Fey,Undirected
Melisa Sözen,Demet Akbag,Undirected
Anushka Sharma,Sanjay Dutt,Undirected
Akshay Kumar,Mithun Chakraborty,Undirected
F. Murray Abraham,Mathieu Amalric,Undirected
Rosamund Pike,Neil Patrick Harris,Undirected
Takao Osawa,Haru Kuroki,Undirected
Sam Worthington,Luke Bracey,Undirected
Amy Poehler,Bill Hader,Undirected
Priyanka Chopra,Ileana D'Cruz,Undirected
Michael Kenneth Williams,Michael Fassbender,Undirected
Chris Hemsworth,Olivia Wilde,Undirected
Christian Bale,Jon Bernthal,Undirected
Michael Keaton,Rachel McAdams,Undirected
Brendan Gleeson,Lisa Hannigan,Undirected
Parambrata Chattopadhyay,Indraneil Sengupta,Undirected
Farhan Akhtar,Abhay Deol,Undirected
Jake Gyllenhaal,Viola Davis,Undirected
Charlize Theron,Nicholas Hoult,Undirected
Naseeruddin Shah,Jimmy Sheirgill,Undirected
Bee Vang,Christopher Carley,Undirected
Emma Watson,Rupert Grint,Undirected
Ryôko Hirosue,Tsutomu Yamazaki,Undirected
Joan Allen,Cary-Hiroyuki Tagawa,Undirected
Philip Seymour Hoffman,Eric Bana,Undirected
Jay Baruchel,Gerard Butler,Undirected
Vince Vaughn,Catherine Keener,Undirected
Tommy Lee Jones,Javier Bardem,Undirected
Arshad Warsi,Vidya Balan,Undirected
Clint Eastwood,Morgan Freeman,Undirected
Sophie Okonedo,Joaquin Phoenix,Undirected
Won Bin,Eun-ju Lee,Undirected
Julie Delpy,Vernon Dobtcheff,Undirected
Arshad Warsi,Gracy Singh,Undirected
Kim Sang-kyung,Roe-ha Kim,Undirected
Saif Ali Khan,Akshaye Khanna,Undirected
David Carradine,Daryl Hannah,Undirected
Albert Brooks,Ellen DeGeneres,Undirected
Tom Hanks,Christopher Walken,Undirected
Gael García Bernal,Goya Toledo,Undirected
Lee Unkrich,Billy Crystal,Undirected
Megumi Ogata,Megumi Hayashibara,Undirected
Raghuvir Yadav,Gracy Singh,Undirected
Haley Joel Osment,Toni Collette,Undirected
Pruitt Taylor Vince,Mélanie Thierry,Undirected
Ed Harris,Laura Linney,Undirected
Srdjan 'Zika' Todorovic,Branka Katic,Undirected
Jeff Bridges,John Goodman,Undirected
Maggie Cheung,Ping Lam Siu,Undirected
Ewen Bremner,Jonny Lee Miller,Undirected
William H. Macy,Frances McDormand,Undirected
Lazar Ristovski,Mirjana Jokovic,Undirected
Hubert Koundé,Saïd Taghmaoui,Undirected
Kajol,Amrish Puri,Undirected
Julie Delpy,Andrea Eckert,Undirected
Jean-Louis Trintignant,Frédérique Feder,Undirected
Takeshi Kaneshiro,Tony Chiu-Wai Leung,Undirected
Laura Dern,Jeff Goldblum,Undirected
Pete Postlethwaite,Alison Crosbie,Undirected
Fengyi Zhang,Gong Li,Undirected
Jingwu Ma,Saifei He,Undirected
Robert Sean Leonard,Ethan Hawke,Undirected
River Phoenix,Corey Feldman,Undirected
Tom Berenger,Willem Dafoe,Undirected
Nastassja Kinski,Dean Stockwell,Undirected
Mahito Tsujimura,Hisako Kyôda,Undirected
Wilford Brimley,Keith David,Undirected
Christine Hargreaves,James Laurenson,Undirected
Claudia Cardinale,José Lewgoy,Undirected
Pernilla Allwin,Kristina Adolphson,Undirected
Rutger Hauer,Sean Young,Undirected
John Hurt,Anne Bancroft,Undirected
John Cleese,Michael Palin,Undirected
Christopher Walken,John Cazale,Undirected
Talia Shire,Burt Young,Undirected
William Holden,Peter Finch,Undirected
Marisa Berenson,Patrick Magee,Undirected
Filipp Yankovskiy,Ignat Daniltsev,Undirected
Faye Dunaway,John Huston,Undirected
Tatum O'Neal,Madeline Kahn,Undirected
Liv Ullmann,Kari Sylwan,Undirected
Donatas Banionis,Jüri Järvet,Undirected
François Périer,Nathalie Delon,Undirected
George Kennedy,Strother Martin,Undirected
Liv Ullmann,Margaretha Krook,Undirected
Ivan Lapikov,Nikolay Grinko,Undirected
Jean Martin,Yacef Saadi,Undirected
Jacqueline Andere,Enrique Rambal,Undirected
Joan Crawford,Victor Buono,Undirected
Tatsuya Nakadai,Keiju Kobayashi,Undirected
John Wayne,Vera Miles,Undirected
Nikolay Burlyaev,Valentin Zubkov,Undirected
Birgitta Valberg,Gunnel Lindblom,Undirected
Fredric March,Gene Kelly,Undirected
Albert Rémy,Claire Maurier,Undirected
Jack Hawkins,Stephen Boyd,Undirected
Misa Uehara,Minoru Chiaki,Undirected
François Périer,Franca Marzi,Undirected
Minoru Chiaki,Isuzu Yamada,Undirected
Alec Guinness,Jack Hawkins,Undirected
Karl Malden,Lee J. Cobb,Undirected
Charles Vanel,Peter van Eyck,Undirected
Jan Sterling,Robert Arthur,Undirected
Virginia Mayo,Edmond O'Brien,Undirected
Joseph Cotten,Alida Valli,Undirected
Anton Walbrook,Marius Goring,Undirected
James Stewart,Frank Morgan,Undirected
Joan Fontaine,George Sanders,Undirected
Jean Arthur,Claude Rains,Undirected
Sam Wood,Clark Gable,Undirected
Dita Parlo,Pierre Fresnay,Undirected
Claudette Colbert,Walter Connolly,Undirected
Eugene Silvain,André Berley,Undirected
Merna Kennedy,Al Ernest Garcia,Undirected
Janet Gaynor,Margaret Livingston,Undirected
Buster Keaton,Marion Mack,Undirected
Conrad Veidt,Friedrich Feher,Undirected
Neena Gupta,Gajraj Rao,Undirected
Julianne Nicholson,Christopher Heyerdahl,Undirected
Nimrat Kaur,Kumud Mishra,Undirected
Harshaali Malhotra,Nawazuddin Siddiqui,Undirected
Danny Denzongpa,Rana Daggubati,Undirected
Emma Stone,Rosemarie DeWitt,Undirected
Nicole Kidman,Rooney Mara,Undirected
Jessica Chastain,Kristen Wiig,Undirected
Jared Bush,Ginnifer Goodwin,Undirected
Rana Daggubati,Ramya Krishnan,Undirected
James Caan,Mary Steenburgen,Undirected
Owen Wilson,Izabela Vidovic,Undirected
Nakul Roshan Sahdev,Ranveer Singh,Undirected
Anupam Kher,Manoj Bajpayee,Undirected
Frantz Turner,John Gallagher Jr.,Undirected
Yayan Ruhian,Arifin Putra,Undirected
Keira Knightley,Matthew Goode,Undirected
Vin Diesel,Bradley Cooper,Undirected
Ryan Gosling,Ana de Armas,Undirected
Amy Adams,Scarlett Johansson,Undirected
Lucy Boynton,Gwilym Lee,Undirected
Tom Hardy,Will Poulter,Undirected
Emma Watson,Ezra Miller,Undirected
Irandhir Santos,André Ramiro,Undirected
Geoffrey Rush,Helena Bonham Carter,Undirected
Viola Davis,Octavia Spencer,Undirected
Morena Baccarin,T.J. Miller,Undirected
Shahab Hosseini,Taraneh Alidoosti,Undirected
Mahie Gill,Kalki Koechlin,Undirected
Simon Yam,Siu-Wong Fan,Undirected
Kajol,Sheetal Menon,Undirected
Mete Horozoglu,Ilker Kizmaz,Undirected
Dev Patel,Freida Pinto,Undirected
Mila Kunis,Vincent Cassel,Undirected
André Ramiro,Caio Junqueira,Undirected
Chris Evans,Scarlett Johansson,Undirected
Chiara Mastroianni,Catherine Deneuve,Undirected
Jennifer Garner,Jared Leto,Undirected
Thandie Newton,Jaden Smith,Undirected
Djimon Hounsou,Jennifer Connelly,Undirected
Edgar Ramírez,Joan Allen,Undirected
Hee Jae,Hyuk-ho Kwon,Undirected
Robert Rodriguez,Mickey Rourke,Undirected
Mathieu Amalric,Emmanuelle Seigner,Undirected
Özge Özberk,Ozan Güven,Undirected
Brad Garrett,Lou Romano,Undirected
Eva Green,Judi Dench,Undirected
David Carradine,Michael Madsen,Undirected
Ivan Dobronravov,Konstantin Lavronenko,Undirected
Yeong-su Oh,Jong-ho Kim,Undirected
Belén Rueda,Lola Dueñas,Undirected
Renée Zellweger,Craig Bierko,Undirected
Shah Rukh Khan,Saif Ali Khan,Undirected
Andy Lau,Tony Chiu-Wai Leung,Undirected
Geoffrey Rush,Orlando Bloom,Undirected
Albert Finney,Billy Crudup,Undirected
Samuel L. Jackson,Holly Hunter,Undirected
Jun Ji-Hyun,In-mun Kim,Undirected
Paul Bettany,Lauren Bacall,Undirected
Yilmaz Erdogan,Demet Akbag,Undirected
Jena Malone,Mary McDonnell,Undirected
Jason Robards,Julianne Moore,Undirected
Catherine Deneuve,David Morse,Undirected
Sissy Spacek,Jane Galloway Heitz,Undirected
Rica Matsumoto,Shinpachi Tsuji,Undirected
Henning Moritzen,Thomas Bo Larsen,Undirected
Vinícius de Oliveira,Marília Pêra,Undirected
Harry Connick Jr.,Jennifer Aniston,Undirected
Jan Josef Liefers,Thierry van Werveke,Undirected
Dwight Yoakam,J.T. Walsh,Undirected
Brenda Blethyn,Phyllis Logan,Undirected
Madeleine Stowe,Brad Pitt,Undirected
Iemasa Kayumi,Akio Ôtsuka,Undirected
Chris Sarandon,Catherine O'Hara,Undirected
Andie MacDowell,Chris Elliott,Undirected
Jesse Borrego,Benjamin Bratt,Undirected
Chris O'Donnell,James Rebhorn,Undirected
Scott Weinger,Robin Williams,Undirected
Gary Oldman,Jack Lemmon,Undirected
Paige O'Hara,Robby Benson,Undirected
Mary McDonnell,Graham Greene,Undirected
Ossie Davis,Ruby Dee,Undirected
Tom Cruise,Valeria Golino,Undirected
Nozomu Sasaki,Mami Koyama,Undirected
Mandy Patinkin,Robin Wright,Undirected
Solveig Dommartin,Otto Sander,Undirected
Raphael Fejtö,Francine Racette,Undirected
Keiko Yokozawa,Kotoe Hatsui,Undirected
Linda Hamilton,Michael Biehn,Undirected
John Gielgud,Rohini Hattangadi,Undirected
Tsutomu Yamazaki,Ken'ichi Hagiwara,Undirected
Shirley MacLaine,Melvyn Douglas,Undirected
Diane Keaton,Tony Roberts,Undirected
Robert Shaw,Richard Dreyfuss,Undirected
John Cazale,Penelope Allen,Undirected
Madeline Kahn,Marty Feldman,Undirected
Dustin Hoffman,Victor Jory,Undirected
Max von Sydow,Linda Blair,Undirected
Michael Caine,Alec Cawthorne,Undirected
Jeff Bridges,Cybill Shepherd,Undirected
Norma Crane,Leonard Frey,Undirected
Stefania Sandrelli,Gastone Moschin,Undirected
Robert Redford,Katharine Ross,Undirected
John Cassavetes,Ruth Gordon,Undirected
Roddy McDowall,Kim Hunter,Undirected
Anne Bancroft,Katharine Ross,Undirected
Richard Burton,George Segal,Undirected
Christopher Plummer,Eleanor Parker,Undirected
Julie Christie,Geraldine Chaplin,Undirected
Gian Maria Volontè,Marianne Koch,Undirected
Anouk Aimée,Claudia Cardinale,Undirected
Sady Rebbot,André S. Labarthe,Undirected
Jackie Gleason,Piper Laurie,Undirected
Anita Ekberg,Anouk Aimée,Undirected
Dean Martin,Ricky Nelson,Undirected
Lee Remick,Ben Gazzara,Undirected
Orson Welles,Janet Leigh,Undirected
Paul Newman,Burl Ives,Undirected
Tony Curtis,Susan Harrison,Undirected
Coleen Gray,Vince Edwards,Undirected
Shelley Winters,Lillian Gish,Undirected
Giulietta Masina,Richard Basehart,Undirected
Véra Clouzot,Paul Meurisse,Undirected
Don Taylor,Otto Preminger,Undirected
Audrey Hepburn,Eddie Albert,Undirected
Marlon Brando,Kim Hunter,Undirected
Gloria Grahame,Frank Lovejoy,Undirected
Alec Guinness,Valerie Hobson,Undirected
John Dall,Farley Granger,Undirected
Jane Greer,Kirk Douglas,Undirected
Trevor Howard,Stanley Holloway,Undirected
Dana Andrews,Clifton Webb,Undirected
Dana Andrews,Fredric March,Undirected
Priscilla Lane,Raymond Massey,Undirected
Mary Astor,Gladys George,Undirected
Jane Darwell,John Carradine,Undirected
Mervyn LeRoy,Norman Taurog,Undirected
Nora Gregor,Paulette Dubost,Undirected
Myrna Loy,Maureen O'Sullivan,Undirected
Louis Wolheim,John Wray,Undirected
Vladimir Barskiy,Grigoriy Aleksandrov,Undirected
Chris Evans,Ana de Armas,Undirected
Sanjana Sanghi,Sahil Vaid,Undirected
Sakura Andô,Kirin Kiki,Undirected
Scarlett Johansson,Julia Greer,Undirected
Timothée Chalamet,Michael Stuhlbarg,Undirected
Dave Johns,Hayley Squires,Undirected
Koyu Rankin,Edward Norton,Undirected
Julian Dennison,Rima Te Wiata,Undirected
George MacKay,Samantha Isler,Undirected
Aidan Gillen,Maria Doyle Kennedy,Undirected
Tom Hiddleston,Cate Blanchett,Undirected
Rene Russo,Bill Paxton,Undirected
Thomasin McKenzie,Scarlett Johansson,Undirected
Jeremy Renner,Forest Whitaker,Undirected
John Boyega,Oscar Isaac,Undirected
Julie Delpy,Seamus Davey-Fitzpatrick,Undirected
Ian McKellen,Hugh Jackman,Undirected
Yilmaz Erdogan,Taner Birsel,Undirected
Bérénice Bejo,John Goodman,Undirected
Emily Blunt,Bill Paxton,Undirected
Emmanuelle Riva,Isabelle Huppert,Undirected
Al Pacino,Joe Pesci,Undirected
Niels Arestrup,Adel Bencherif,Undirected
Kevin Spacey,Dominique McElligott,Undirected
Lina Leandersson,Per Ragnar,Undirected
David James,Jason Cope,Undirected
Marisa Tomei,Evan Rachel Wood,Undirected
Kareena Kapoor,Tarun Arora,Undirected
Patricia Arquette,Ethan Hawke,Undirected
Laura Vasiliu,Vlad Ivanov,Undirected
Zachary Quinto,Simon Pegg,Undirected
Brendan Gleeson,Ciarán Hinds,Undirected
Tony Todd,John Billingsley,Undirected
Kazunari Ninomiya,Tsuyoshi Ihara,Undirected
Catinca Untaru,Justine Waddell,Undirected
Irrfan Khan,Adil Hussain,Undirected
Meryl Streep,Bill Murray,Undirected
Marc-André Grondin,Danielle Proulx,Undirected
François Berléand,Jean-Baptiste Maunier,Undirected
Gwyneth Paltrow,Terrence Howard,Undirected
Nick Frost,Kate Ashfield,Undirected
Sibel Kekilli,Güven Kiraç,Undirected
Tim Robbins,Kevin Bacon,Undirected
Emma Watson,Rupert Grint,Undirected
Tony Chiu-Wai Leung,Maggie Cheung,Undirected
Javier Cámara,Darío Grandinetti,Undirected
Rene Bitorajac,Filip Sovagovic,Undirected
Hiroyuki Okiura,Yoshiyuki Takei,Undirected
Matt Damon,Chris Cooper,Undirected
Gastón Pauls,Graciela Tenenbaum,Undirected
Clive Owen,Chiwetel Ejiofor,Undirected
Patrick Fugit,Kate Hudson,Undirected
Laura Harring,Justin Theroux,Undirected
Lee Unkrich,Tom Hanks,Undirected
Julianne Moore,Burt Reynolds,Undirected
Issey Takahashi,Takashi Tachibana,Undirected
Temuera Morrison,Mamaengaroa Kerr-Bell,Undirected
Patricia Arquette,Dennis Hopper,Undirected
Zbigniew Zamachowski,Julie Delpy,Undirected
Emi Shinohara,Takeshi Aono,Undirected
Sean Penn,Penelope Ann Miller,Undirected
Winona Ryder,Dianne Wiest,Undirected
Brenda Fricker,Alison Whelan,Undirected
Woody Allen,Bill Bernstein,Undirected
Sean Connery,Robert De Niro,Undirected
Dianne Wiest,Michael Caine,Undirected
Kim Greist,Robert De Niro,Undirected
Michael McKean,Christopher Guest,Undirected
Melinda Dillon,Darren McGavin,Undirected
Dan Aykroyd,Cab Calloway,Undirected
Diane Keaton,Mariel Hemingway,Undirected
Jessica Lange,Ann Reinking,Undirected
Ken Foree,Scott H. Reiniger,Undirected
Robert Redford,Jack Warden,Undirected
Horacio Salinas,Zamira Saunders,Undirected
Bruno Zanin,Pupella Maggio,Undirected
Delphine Seyrig,Paul Frankeur,Undirected
Ruy Guerra,Helena Rojo,Undirected
Bud Cort,Vivian Pickles,Undirected
Karl Malden,Stephen Young,Undirected
Ernest Borgnine,Robert Ryan,Undirected
Judith O'Dea,Karl Hardman,Undirected
Katharine Hepburn,Anthony Hopkins,Undirected
Rod Steiger,Warren Oates,Undirected
Audrey Hepburn,Walter Matthau,Undirected
Laurence Harvey,Janet Leigh,Undirected
Laurence Olivier,Jean Simmons,Undirected
Monica Vitti,Lea Massari,Undirected
Eiji Okada,Stella Dassas,Undirected
Yul Brynner,Anne Baxter,Undirected
Jeffrey Hunter,Vera Miles,Undirected
Raymond Massey,Julie Harris,Undirected
Grace Kelly,Thomas Mitchell,Undirected
Robert Walker,Ruth Roman,Undirected
Wallace Ford,William H. Lynn,Undirected
Maureen O'Hara,John Payne,Undirected
Ingrid Bergman,Claude Rains,Undirected
Lauren Bacall,John Ridgely,Undirected
Jane Wyman,Phillip Terry,Undirected
Katharine Hepburn,James Stewart,Undirected
Rosalind Russell,Ralph Bellamy,Undirected
Errol Flynn,Olivia de Havilland,Undirected
Groucho Marx,Chico Marx,Undirected
Fay Wray,Robert Armstrong,Undirected
Leila Hyams,Olga Baclanova,Undirected
Alexander Granach,Gustav von Wangenheim,Undirected
Charlie Hunnam,Michelle Dockery,Undirected
Vicky Kaushal,Rajit Kapoor,Undirected
Olivia Cooke,Paul Raci,Undirected
Taraneh Alidoosti,Babak Karimi,Undirected
Barry Keoghan,Mark Rylance,Undirected
Anna Foglietta,Marco Giallini,Undirected
Octavia Spencer,Janelle Monáe,Undirected
Hugh Grant,Hugh Bonneville,Undirected
Alia Bhatt,Kareena Kapoor,Undirected
Art Parkinson,Matthew McConaughey,Undirected
Kiara Advani,Anupam Kher,Undirected
Michelle Williams,Kyle Chandler,Undirected
Louis Hofmann,Joel Basman,Undirected
Diego Luna,Alan Tudyk,Undirected
Chris Evans,Robert Downey Jr.,Undirected
Kurt Russell,Jennifer Jason Leigh,Undirected
Emma Watson,Florence Pugh,Undirected
Douglas Booth,Jerome Flynn,Undirected
Imelda Staunton,Dominic West,Undirected
Tahar Rahim,Ali Mosaffa,Undirected
Carlo Verdone,Sabrina Ferilli,Undirected
Nimrat Kaur,Nawazuddin Siddiqui,Undirected
Yami Gautam,Annu Kapoor,Undirected
Ryan Potter,Scott Adsit,Undirected
Rachel McAdams,Bill Nighy,Undirected
Adil Hussain,Mehdi Nebbou,Undirected
Hidetoshi Nishijima,Miori Takimoto,Undirected
Tim Allen,Annie Potts,Undirected
Jim Sturgess,Sylvia Hoeks,Undirected
Kara Hayward,Bruce Willis,Undirected
Cate Blanchett,Gerard Butler,Undirected
Steve Carell,Ryan Gosling,Undirected
Yoshino Kimura,Masaki Okada,Undirected
Choi Min-sik,Jeon Gook-Hwan,Undirected
Rooney Mara,Christopher Plummer,Undirected
Barkhad Abdi,Barkhad Abdirahman,Undirected
Sae-ron Kim,Tae-hoon Kim,Undirected
Corey Hawkins,Jason Mitchell,Undirected
