Source,Target,Type
Ralph Fiennes,F. Murray Abraham,Undirected
Ben Affleck,Rosamund Pike,Undirected
Aoi Miyazaki,Takao Osawa,Undirected
Andrew Garfield,Sam Worthington,Undirected
Ronnie Del Carmen,Amy Poehler,Undirected
Ranbir Kapoor,Priyanka Chopra,Undirected
Chiwetel Ejiofor,Michael Kenneth Williams,Undirected
Daniel Brühl,Chris Hemsworth,Undirected
Matt Damon,Christian Bale,Undirected
Mark Ruffalo,Michael Keaton,Undirected
David Rawle,Brendan Gleeson,Undirected
Vidya Balan,Parambrata Chattopadhyay,Undirected
Hrithik Roshan,Farhan Akhtar,Undirected
Hugh Jackman,Jake Gyllenhaal,Undirected
Tom Hardy,Charlize Theron,Undirected
Anupam Kher,Naseeruddin Shah,Undirected
Clint Eastwood,Bee Vang,Undirected
Daniel Radcliffe,Emma Watson,Undirected
Masahiro Motoki,Ryôko Hirosue,Undirected
Richard Gere,Joan Allen,Undirected
Toni Collette,Philip Seymour Hoffman,Undirected
Chris Sanders,Jay Baruchel,Undirected
Emile Hirsch,Vince Vaughn,Undirected
Joel Coen,Tommy Lee Jones,Undirected
Sanjay Dutt,Arshad Warsi,Undirected
Hilary Swank,Clint Eastwood,Undirected
Don Cheadle,Sophie Okonedo,Undirected
Jang Dong-Gun,Won Bin,Undirected
Ethan Hawke,Julie Delpy,Undirected
Sanjay Dutt,Arshad Warsi,Undirected
Kang-ho Song,Kim Sang-kyung,Undirected
Aamir Khan,Saif Ali Khan,Undirected
Uma Thurman,David Carradine,Undirected
Lee Unkrich,Albert Brooks,Undirected
Leonardo DiCaprio,Tom Hanks,Undirected
Emilio Echevarría,Gael García Bernal,Undirected
David Silverman,Lee Unkrich,Undirected
Kazuya Tsurumaki,Megumi Ogata,Undirected
Aamir Khan,Raghuvir Yadav,Undirected
Bruce Willis,Haley Joel Osment,Undirected
Tim Roth,Pruitt Taylor Vince,Undirected
Jim Carrey,Ed Harris,Undirected
Bajram Severdzan,Srdjan 'Zika' Todorovic,Undirected
Ethan Coen,Jeff Bridges,Undirected
Tony Chiu-Wai Leung,Maggie Cheung,Undirected
Ewan McGregor,Ewen Bremner,Undirected
Ethan Coen,William H. Macy,Undirected
Predrag 'Miki' Manojlovic,Lazar Ristovski,Undirected
Vincent Cassel,Hubert Koundé,Undirected
Shah Rukh Khan,Kajol,Undirected
Ethan Hawke,Julie Delpy,Undirected
Irène Jacob,Jean-Louis Trintignant,Undirected
Brigitte Lin,Takeshi Kaneshiro,Undirected
Sam Neill,Laura Dern,Undirected
Daniel Day-Lewis,Pete Postlethwaite,Undirected
Leslie Cheung,Fengyi Zhang,Undirected
Gong Li,Jingwu Ma,Undirected
Robin Williams,Robert Sean Leonard,Undirected
Wil Wheaton,River Phoenix,Undirected
Charlie Sheen,Tom Berenger,Undirected
Harry Dean Stanton,Nastassja Kinski,Undirected
Sumi Shimamoto,Mahito Tsujimura,Undirected
Kurt Russell,Wilford Brimley,Undirected
Bob Geldof,Christine Hargreaves,Undirected
Klaus Kinski,Claudia Cardinale,Undirected
Bertil Guve,Pernilla Allwin,Undirected
Harrison Ford,Rutger Hauer,Undirected
Anthony Hopkins,John Hurt,Undirected
Graham Chapman,John Cleese,Undirected
Robert De Niro,Christopher Walken,Undirected
Sylvester Stallone,Talia Shire,Undirected
Faye Dunaway,William Holden,Undirected
Ryan O'Neal,Marisa Berenson,Undirected
Margarita Terekhova,Filipp Yankovskiy,Undirected
Jack Nicholson,Faye Dunaway,Undirected
Ryan O'Neal,Tatum O'Neal,Undirected
Harriet Andersson,Liv Ullmann,Undirected
Natalya Bondarchuk,Donatas Banionis,Undirected
Alain Delon,François Périer,Undirected
Paul Newman,George Kennedy,Undirected
Bibi Andersson,Liv Ullmann,Undirected
Anatoliy Solonitsyn,Ivan Lapikov,Undirected
Brahim Hadjadj,Jean Martin,Undirected
Silvia Pinal,Jacqueline Andere,Undirected
Bette Davis,Joan Crawford,Undirected
Toshirô Mifune,Tatsuya Nakadai,Undirected
James Stewart,John Wayne,Undirected
Eduard Abalov,Nikolay Burlyaev,Undirected
Max von Sydow,Birgitta Valberg,Undirected
Spencer Tracy,Fredric March,Undirected
Jean-Pierre Léaud,Albert Rémy,Undirected
Charlton Heston,Jack Hawkins,Undirected
Toshirô Mifune,Misa Uehara,Undirected
Giulietta Masina,François Périer,Undirected
Toshirô Mifune,Minoru Chiaki,Undirected
William Holden,Alec Guinness,Undirected
Marlon Brando,Karl Malden,Undirected
Yves Montand,Charles Vanel,Undirected
Kirk Douglas,Jan Sterling,Undirected
James Cagney,Virginia Mayo,Undirected
Orson Welles,Joseph Cotten,Undirected
Emeric Pressburger,Anton Walbrook,Undirected
Margaret Sullavan,James Stewart,Undirected
Laurence Olivier,Joan Fontaine,Undirected
James Stewart,Jean Arthur,Undirected
George Cukor,Sam Wood,Undirected
Jean Gabin,Dita Parlo,Undirected
Clark Gable,Claudette Colbert,Undirected
Maria Falconetti,Eugene Silvain,Undirected
Charles Chaplin,Merna Kennedy,Undirected
George O'Brien,Janet Gaynor,Undirected
Buster Keaton,Buster Keaton,Undirected
Werner Krauss,Conrad Veidt,Undirected
Ayushmann Khurrana,Neena Gupta,Undirected
Willem Dafoe,Julianne Nicholson,Undirected
Akshay Kumar,Nimrat Kaur,Undirected
Salman Khan,Harshaali Malhotra,Undirected
Akshay Kumar,Danny Denzongpa,Undirected
Ryan Gosling,Emma Stone,Undirected
Dev Patel,Nicole Kidman,Undirected
Matt Damon,Jessica Chastain,Undirected
Rich Moore,Jared Bush,Undirected
Prabhas,Rana Daggubati,Undirected
Chloë Grace Moretz,James Caan,Undirected
Jacob Tremblay,Owen Wilson,Undirected
Vijay Varma,Nakul Roshan Sahdev,Undirected
Akshay Kumar,Anupam Kher,Undirected
Brie Larson,Frantz Turner,Undirected
Iko Uwais,Yayan Ruhian,Undirected
Benedict Cumberbatch,Keira Knightley,Undirected
Chris Pratt,Vin Diesel,Undirected
Harrison Ford,Ryan Gosling,Undirected
Joaquin Phoenix,Amy Adams,Undirected
Rami Malek,Lucy Boynton,Undirected
Leonardo DiCaprio,Tom Hardy,Undirected
Logan Lerman,Emma Watson,Undirected
Wagner Moura,Irandhir Santos,Undirected
Colin Firth,Geoffrey Rush,Undirected
Emma Stone,Viola Davis,Undirected
Ryan Reynolds,Morena Baccarin,Undirected
Golshifteh Farahani,Shahab Hosseini,Undirected
Abhay Deol,Mahie Gill,Undirected
Donnie Yen,Simon Yam,Undirected
Shah Rukh Khan,Kajol,Undirected
Erdem Can,Mete Horozoglu,Undirected
Loveleen Tandan,Dev Patel,Undirected
Natalie Portman,Mila Kunis,Undirected
Wagner Moura,André Ramiro,Undirected
Robert Downey Jr.,Chris Evans,Undirected
Marjane Satrapi,Chiara Mastroianni,Undirected
Matthew McConaughey,Jennifer Garner,Undirected
Will Smith,Thandie Newton,Undirected
Leonardo DiCaprio,Djimon Hounsou,Undirected
Matt Damon,Edgar Ramírez,Undirected
Seung-Yun Lee,Hee Jae,Undirected
Quentin Tarantino,Robert Rodriguez,Undirected
Laura Obiols,Mathieu Amalric,Undirected
Cem Yilmaz,Özge Özberk,Undirected
Jan Pinkava,Brad Garrett,Undirected
Daniel Craig,Eva Green,Undirected
Uma Thurman,David Carradine,Undirected
Vladimir Garin,Ivan Dobronravov,Undirected
Ki-duk Kim,Yeong-su Oh,Undirected
Javier Bardem,Belén Rueda,Undirected
Russell Crowe,Renée Zellweger,Undirected
Preity Zinta,Shah Rukh Khan,Undirected
Alan Mak,Andy Lau,Undirected
Johnny Depp,Geoffrey Rush,Undirected
Ewan McGregor,Albert Finney,Undirected
Craig T. Nelson,Samuel L. Jackson,Undirected
Tae-Hyun Cha,Jun Ji-Hyun,Undirected
